cap-shape,cap-surface,cap-color,odor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,spore-print-color,population,habitat,edible
b,s,y,l,c,b,g,e,c,n,n,g,e
x,y,w,p,c,n,p,e,e,n,v,u,p
s,f,n,n,c,n,g,e,e,n,y,u,e
f,f,n,n,c,n,g,e,e,k,v,u,e
x,s,y,a,c,b,g,e,c,n,s,m,e
f,y,n,a,c,b,p,e,r,k,s,p,e
x,y,w,p,c,n,k,e,e,k,s,g,p
b,s,w,l,c,b,g,e,c,n,s,m,e
f,f,g,n,c,n,p,e,e,k,v,u,e
b,y,y,l,c,b,g,e,c,n,n,g,e
x,y,n,a,c,b,w,e,r,n,y,p,e
x,f,w,n,w,b,p,t,e,k,s,g,e
x,s,w,l,w,n,w,t,b,n,v,d,e
b,s,w,l,c,b,w,e,c,n,s,m,e
f,s,y,a,w,n,w,t,b,n,v,d,e
x,s,y,a,c,b,k,e,c,n,n,m,e
f,f,g,n,c,n,g,e,e,n,y,u,e
b,s,y,a,c,b,n,e,c,k,s,g,e
x,s,w,l,c,b,g,e,c,n,n,m,e
x,y,w,l,c,b,n,e,c,n,s,m,e
f,s,w,a,w,n,n,t,b,n,v,d,e
x,y,y,l,c,b,w,e,c,n,s,g,e
b,s,w,l,c,b,w,e,c,k,s,g,e
x,s,w,a,c,b,g,e,c,k,n,g,e
x,f,w,n,w,b,h,t,e,k,s,g,e
f,y,n,l,c,b,n,e,r,k,y,p,e
x,s,w,p,c,n,k,e,e,n,v,u,p
b,s,w,a,c,b,n,e,c,n,n,g,e
b,s,w,a,c,b,k,e,c,k,s,m,e
b,y,w,l,c,b,n,e,c,n,n,g,e
b,y,w,a,c,b,w,e,c,k,n,g,e
x,s,y,a,c,b,w,e,c,k,s,g,e
b,s,w,l,c,b,w,e,c,k,n,m,e
x,f,y,a,w,n,n,t,b,n,v,d,e
x,f,g,n,c,n,n,e,e,n,y,u,e
f,y,y,a,c,b,n,e,r,n,s,g,e
b,s,w,l,c,b,n,e,c,k,n,m,e
x,s,y,a,c,b,g,e,c,k,s,g,e
x,y,y,a,c,b,k,e,c,k,s,g,e
x,y,w,l,c,b,w,e,c,n,s,g,e
s,f,g,n,c,n,p,e,e,n,v,u,e
x,s,w,a,c,b,n,e,c,n,n,m,e
x,s,w,p,c,n,k,e,e,k,s,g,p
x,y,y,a,c,b,n,e,r,n,s,g,e
f,f,w,a,w,n,p,t,b,n,v,d,e
x,y,w,l,c,b,g,e,c,k,n,m,e
b,y,w,l,c,b,n,e,c,k,s,g,e
x,s,w,a,c,b,g,e,c,n,n,g,e
x,s,y,a,c,b,g,e,c,n,s,g,e
x,y,n,p,c,n,p,e,e,k,v,u,p
b,s,y,a,c,b,n,e,c,n,n,g,e
x,f,g,n,c,n,n,e,e,k,y,u,e
x,y,w,p,c,n,k,e,e,k,s,u,p
x,y,y,l,c,b,n,e,r,n,y,p,e
f,f,n,n,c,n,k,e,e,k,v,u,e
b,s,w,l,c,b,k,e,c,n,n,g,e
x,f,w,l,w,n,w,t,b,n,v,d,e
x,y,w,l,c,b,w,e,c,k,s,g,e
b,y,y,l,c,b,n,e,c,n,s,g,e
x,y,y,l,c,b,n,e,r,k,s,g,e
f,y,y,a,c,b,p,e,r,k,s,p,e
f,y,y,a,c,b,w,e,r,k,y,p,e
x,s,w,l,c,b,w,e,c,k,s,g,e
x,s,w,a,c,b,w,e,c,n,n,m,e
x,s,w,p,c,n,n,e,e,k,v,u,p
f,f,w,a,w,n,p,t,b,u,v,d,e
x,s,w,l,c,b,w,e,c,n,s,g,e
x,s,w,l,w,n,p,t,b,u,v,d,e
x,y,w,a,c,b,n,e,c,k,s,m,e
f,y,y,l,c,b,w,e,r,k,y,p,e
x,s,n,n,w,b,p,t,e,k,s,g,e
f,y,y,a,c,b,w,e,r,n,y,g,e
x,s,n,p,c,n,p,e,e,n,s,g,p
s,f,n,n,c,n,g,e,e,n,v,u,e
b,y,y,l,c,b,w,e,c,n,s,m,e
b,s,w,l,c,b,n,e,c,n,s,g,e
b,y,w,l,c,b,k,e,c,n,n,m,e
f,f,n,n,c,n,k,e,e,n,v,u,e
x,s,w,a,c,b,w,e,c,k,n,m,e
b,y,w,l,c,b,g,e,c,k,n,g,e
b,y,w,a,c,b,g,e,c,n,n,m,e
f,y,n,l,c,b,w,e,r,n,s,g,e
x,y,w,p,c,n,k,e,e,k,v,g,p
x,s,w,a,c,b,n,e,c,n,n,g,e
x,y,w,a,c,b,n,e,c,n,s,m,e
f,f,w,l,w,n,w,t,b,u,v,d,e
f,f,g,n,c,n,g,e,e,k,v,u,e
f,s,g,n,w,b,p,t,e,k,a,g,e
x,y,y,a,c,b,g,e,c,n,s,m,e
b,s,w,a,c,b,k,e,c,n,s,m,e
f,y,n,p,c,n,w,e,e,k,s,u,p
x,s,w,l,c,b,n,e,c,k,n,m,e
f,s,n,p,c,n,w,e,e,k,v,u,p
x,y,w,l,c,b,k,e,c,n,s,g,e
x,y,y,a,c,b,k,e,c,n,n,m,e
f,y,y,a,c,b,n,e,r,n,s,p,e
x,y,n,a,c,b,w,e,r,n,s,p,e
f,y,n,a,c,b,w,e,r,n,y,g,e
x,y,w,a,c,b,w,e,c,n,n,m,e
f,f,n,n,w,b,h,t,e,k,s,g,e
x,s,y,l,c,b,k,e,c,n,n,m,e
x,y,w,p,c,n,w,e,e,n,s,g,p
b,y,y,a,c,b,n,e,c,n,n,m,e
s,f,n,n,c,n,p,e,e,n,v,u,e
x,s,y,l,c,b,k,e,c,k,s,m,e
b,y,w,l,c,b,n,e,c,k,n,m,e
f,y,n,a,c,b,n,e,r,k,s,g,e
b,y,y,a,c,b,g,e,c,k,s,m,e
b,y,w,a,c,b,g,e,c,k,s,g,e
x,y,n,l,c,b,n,e,r,n,y,p,e
f,f,g,n,c,n,p,e,e,n,y,u,e
x,f,g,n,c,n,g,e,e,k,y,u,e
b,y,y,l,c,b,n,e,c,k,s,g,e
x,s,y,l,c,b,n,e,c,k,s,m,e
b,y,w,l,c,b,k,e,c,n,s,g,e
x,s,w,a,c,b,g,e,c,k,s,m,e
b,s,y,a,c,b,g,e,c,n,n,m,e
x,s,y,a,c,b,k,e,c,k,s,m,e
x,f,g,n,w,b,p,t,e,k,s,g,e
f,s,y,a,w,n,p,t,b,n,v,d,e
x,y,w,p,c,n,p,e,e,k,s,g,p
x,f,w,n,w,b,k,t,e,k,a,g,e
b,y,w,a,c,b,w,e,c,k,s,g,e
x,s,y,l,w,n,w,t,b,n,v,d,e
b,y,w,a,c,b,n,e,c,k,s,g,e
x,y,w,l,c,b,g,e,c,k,s,g,e
x,f,n,n,c,b,p,t,b,n,y,d,e
b,y,w,l,c,b,k,e,c,n,s,m,e
x,s,y,l,c,b,g,e,c,n,n,m,e
f,y,n,a,c,b,p,e,r,k,y,g,e
x,f,w,n,w,b,n,t,e,n,s,g,e
x,s,y,l,c,b,w,e,c,k,s,g,e
x,y,w,p,c,n,n,e,e,n,v,g,p
x,y,y,l,c,b,n,e,c,k,s,g,e
x,f,w,a,w,n,p,t,b,n,v,d,e
b,s,y,a,c,b,g,e,c,n,n,g,e
x,y,w,p,c,n,k,e,e,k,v,u,p
x,s,y,a,w,n,w,t,b,n,v,d,e
x,y,w,a,c,b,k,e,c,k,n,m,e
x,f,w,l,w,n,n,t,b,n,v,d,e
f,s,w,l,w,n,w,t,b,n,v,d,e
x,y,y,l,c,b,k,e,c,n,s,m,e
f,f,y,a,w,n,w,t,b,u,v,d,e
x,s,w,a,c,b,w,e,c,k,s,g,e
b,y,y,a,c,b,n,e,c,k,s,m,e
x,y,n,l,c,b,p,e,r,n,s,p,e
b,y,w,l,c,b,k,e,c,k,n,g,e
x,s,y,a,c,b,n,e,c,n,s,m,e
x,y,n,p,c,n,n,e,e,n,v,u,p
b,s,y,l,c,b,w,e,c,k,n,g,e
b,y,w,a,c,b,g,e,c,k,n,g,e
x,y,n,p,c,n,w,e,e,k,v,u,p
b,s,w,l,c,b,n,e,c,k,s,m,e
b,y,y,l,c,b,w,e,c,n,n,m,e
b,y,y,a,c,b,n,e,c,k,s,g,e
x,y,w,l,c,b,g,e,c,n,n,g,e
x,f,n,n,c,b,p,t,b,k,y,d,e
x,y,n,a,c,b,w,e,r,k,y,g,e
b,s,y,l,c,b,n,e,c,n,s,g,e
x,f,g,n,c,n,g,e,e,n,v,u,e
x,y,n,l,c,b,n,e,r,k,y,g,e
x,s,w,a,c,b,k,e,c,n,s,g,e
b,y,w,a,c,b,n,e,c,k,n,g,e
x,s,y,a,c,b,g,e,c,k,s,m,e
f,f,y,a,w,n,p,t,b,n,v,d,e
b,y,y,l,c,b,g,e,c,n,s,g,e
x,f,n,n,w,b,n,t,e,n,a,g,e
x,f,y,l,w,n,n,t,b,n,v,d,e
x,s,y,a,c,b,n,e,c,n,n,m,e
f,s,g,n,w,b,n,t,e,k,s,g,e
x,f,n,n,c,n,g,e,e,n,y,u,e
f,s,g,n,w,b,h,t,e,n,a,g,e
f,y,n,a,c,b,p,e,r,n,s,p,e
b,y,w,a,c,b,k,e,c,n,s,g,e
b,s,y,a,c,b,k,e,c,k,s,m,e
x,y,y,l,c,b,w,e,r,k,s,p,e
s,f,g,n,c,n,g,e,e,n,v,u,e
f,y,n,a,c,b,p,e,r,n,y,p,e
x,y,n,p,c,n,k,e,e,k,s,u,p
x,y,y,a,c,b,p,e,r,n,y,p,e
x,y,y,a,c,b,w,e,c,n,s,g,e
x,f,n,n,w,b,h,t,e,n,s,g,e
x,f,n,n,w,b,p,t,e,k,a,g,e
f,s,n,n,w,b,k,t,e,k,a,g,e
f,y,n,a,c,b,n,e,r,n,s,p,e
x,s,y,a,c,b,w,e,c,k,n,g,e
f,f,n,n,c,n,p,e,e,k,v,u,e
x,y,y,a,c,b,w,e,r,n,s,p,e
x,f,y,a,w,n,p,t,b,u,v,d,e
b,y,y,a,c,b,g,e,c,n,n,g,e
x,f,g,n,w,b,n,t,e,k,s,g,e
x,y,y,a,c,b,w,e,r,n,s,g,e
f,y,n,l,c,b,n,e,r,k,y,g,e
x,s,y,a,c,b,w,e,c,k,s,m,e
s,f,n,n,c,n,n,e,e,n,y,u,e
x,s,w,a,c,b,k,e,c,k,s,m,e
b,s,w,l,c,b,n,e,c,k,n,g,e
s,f,n,n,c,n,k,e,e,k,y,u,e
b,y,y,l,c,b,n,e,c,n,n,m,e
x,y,y,l,c,b,k,e,c,n,n,g,e
b,y,y,a,c,b,k,e,c,n,s,g,e
x,y,n,p,c,n,p,e,e,k,s,u,p
x,s,w,n,w,b,k,t,e,n,s,g,e
x,y,w,a,c,b,w,e,c,k,s,m,e
b,s,w,a,c,b,g,e,c,n,n,g,e
x,f,n,n,c,b,n,t,b,n,y,d,e
x,s,n,p,c,n,w,e,e,n,s,u,p
x,y,n,l,c,b,w,e,r,k,y,p,e
x,s,n,n,w,b,n,t,e,k,a,g,e
b,y,y,l,c,b,n,e,c,k,n,m,e
x,s,y,a,c,b,w,e,c,n,n,m,e
b,s,y,a,c,b,n,e,c,n,s,m,e
x,s,y,l,c,b,g,e,c,k,n,m,e
b,y,w,a,c,b,n,e,c,n,n,g,e
x,f,g,n,c,n,k,e,e,n,v,u,e
f,y,n,a,c,b,w,e,r,k,s,g,e
x,f,g,n,w,b,h,t,e,n,a,g,e
x,s,w,l,c,b,k,e,c,n,n,m,e
x,y,y,l,c,b,w,e,c,n,s,m,e
x,f,g,n,c,n,n,e,e,k,v,u,e
x,s,n,p,c,n,p,e,e,n,s,u,p
b,y,w,l,c,b,w,e,c,n,n,g,e
b,y,w,a,c,b,n,e,c,k,n,m,e
x,y,n,p,c,n,p,e,e,n,v,u,p
b,s,y,l,c,b,w,e,c,n,s,m,e
x,s,w,l,c,b,k,e,c,n,s,m,e
x,y,y,l,c,b,n,e,c,k,s,m,e
b,y,y,l,c,b,n,e,c,n,n,g,e
x,s,w,a,c,b,g,e,c,n,s,m,e
x,s,w,a,c,b,g,e,c,k,s,g,e
x,y,n,l,c,b,w,e,r,n,y,p,e
x,s,w,a,c,b,w,e,c,n,s,m,e
x,s,n,n,w,b,n,t,e,k,s,g,e
x,y,n,l,c,b,n,e,r,n,s,p,e
x,y,y,l,c,b,n,e,r,k,y,g,e
x,y,n,p,c,n,k,e,e,k,v,g,p
b,y,y,a,c,b,w,e,c,n,n,g,e
x,f,w,l,w,n,p,t,b,u,v,d,e
x,s,n,p,c,n,w,e,e,k,s,u,p
x,y,y,l,c,b,k,e,c,k,n,g,e
f,f,g,n,w,b,h,t,e,n,a,g,e
x,y,w,l,c,b,n,e,c,k,s,g,e
b,y,w,a,c,b,w,e,c,n,s,m,e
x,y,n,p,c,n,p,e,e,n,s,u,p
f,y,n,l,c,b,w,e,r,k,s,g,e
x,s,w,l,c,b,n,e,c,n,n,m,e
x,s,w,a,w,n,n,t,b,n,v,d,e
f,y,n,a,c,b,n,e,r,n,y,p,e
b,s,w,a,c,b,k,e,c,n,n,m,e
x,s,w,n,w,b,p,t,e,k,a,g,e
f,f,g,n,c,n,n,e,e,n,v,u,e
x,y,w,a,c,b,g,e,c,n,s,g,e
x,y,y,l,c,b,n,e,r,n,y,g,e
b,s,y,l,c,b,g,e,c,n,s,g,e
b,s,y,l,c,b,w,e,c,k,s,g,e
f,s,w,l,w,n,n,t,b,n,v,d,e
b,s,w,a,c,b,w,e,c,k,n,m,e
x,f,y,a,w,n,n,t,b,u,v,d,e
x,y,w,l,c,b,g,e,c,n,n,m,e
b,y,y,l,c,b,k,e,c,n,n,m,e
x,y,n,a,c,b,p,e,r,n,y,p,e
x,y,w,l,c,b,n,e,c,k,s,m,e
x,y,w,l,c,b,g,e,c,k,s,m,e
x,y,y,a,c,b,p,e,r,k,y,p,e
x,y,w,l,c,b,n,e,c,k,n,m,e
x,s,y,l,c,b,w,e,c,k,n,m,e
x,y,n,l,c,b,p,e,r,k,s,g,e
x,s,w,l,c,b,n,e,c,n,n,g,e
f,y,n,l,c,b,n,e,r,k,s,g,e
b,s,w,l,c,b,w,e,c,k,s,m,e
x,f,n,n,c,b,n,t,b,n,y,d,e
x,y,w,l,c,b,k,e,c,n,s,m,e
b,s,w,l,c,b,g,e,c,k,n,g,e
b,s,y,l,c,b,g,e,c,k,n,m,e
x,f,y,l,w,n,p,t,b,n,v,d,e
b,s,w,l,c,b,g,e,c,n,n,m,e
x,s,g,n,w,b,h,t,e,k,a,g,e
b,s,w,a,c,b,k,e,c,n,n,g,e
b,s,y,l,c,b,w,e,c,k,s,m,e
f,y,y,a,c,b,n,e,r,k,y,p,e
f,y,n,a,c,b,w,e,r,n,y,p,e
x,s,w,a,c,b,k,e,c,n,s,m,e
f,y,y,l,c,b,n,e,r,n,s,g,e
b,s,w,a,c,b,g,e,c,k,s,g,e
x,y,y,a,c,b,w,e,c,n,n,m,e
x,f,n,n,c,n,k,e,e,k,v,u,e
f,y,n,a,c,b,p,e,r,n,y,g,e
x,s,w,a,c,b,g,e,c,k,n,m,e
x,s,y,l,c,b,g,e,c,k,n,g,e
b,y,y,l,c,b,g,e,c,k,n,g,e
f,y,y,a,c,b,w,e,r,n,s,p,e
x,y,y,l,c,b,g,e,c,k,n,g,e
x,y,w,a,c,b,w,e,c,k,n,m,e
f,f,w,a,w,n,n,t,b,u,v,d,e
s,f,g,n,c,n,k,e,e,k,y,u,e
f,s,y,l,w,n,n,t,b,n,v,d,e
f,f,g,n,c,n,k,e,e,k,y,u,e
x,f,n,n,c,n,p,e,e,n,y,u,e
b,y,w,a,c,b,w,e,c,n,n,g,e
x,s,w,a,w,n,p,t,b,n,v,d,e
b,y,y,l,c,b,n,e,c,k,s,m,e
b,y,y,a,c,b,k,e,c,k,s,m,e
b,y,y,l,c,b,g,e,c,k,s,g,e
f,s,w,l,w,n,p,t,b,u,v,d,e
f,f,g,n,c,n,g,e,e,k,y,u,e
f,s,w,a,w,n,w,t,b,n,v,d,e
f,y,y,a,c,b,p,e,r,k,y,g,e
x,y,w,l,c,b,w,e,c,n,s,m,e
s,f,n,n,c,n,p,e,e,n,y,u,e
x,y,n,l,c,b,n,e,r,k,s,p,e
x,y,n,a,c,b,n,e,r,k,s,p,e
f,f,y,a,w,n,n,t,b,u,v,d,e
f,s,n,p,c,n,p,e,e,n,s,g,p
x,s,n,p,c,n,k,e,e,n,v,u,p
f,y,n,l,c,b,w,e,r,n,s,p,e
x,y,y,a,c,b,w,e,r,k,s,g,e
b,s,y,a,c,b,k,e,c,n,n,m,e
f,f,w,n,w,b,h,t,e,n,a,g,e
f,y,n,a,c,b,p,e,r,n,s,g,e
x,y,w,a,c,b,n,e,c,n,s,g,e
b,s,y,l,c,b,w,e,c,k,n,m,e
x,s,y,a,c,b,w,e,c,n,n,g,e
b,y,y,a,c,b,g,e,c,k,n,g,e
x,s,w,l,c,b,g,e,c,k,n,m,e
b,s,y,a,c,b,w,e,c,k,s,m,e
b,y,y,a,c,b,w,e,c,n,s,g,e
x,s,n,p,c,n,n,e,e,n,v,g,p
x,s,g,n,w,b,p,t,e,n,s,g,e
f,s,n,n,w,b,p,t,e,n,a,g,e
x,f,w,a,w,n,n,t,b,n,v,d,e
f,f,g,n,c,n,p,e,e,n,v,u,e
f,f,n,n,c,n,k,e,e,n,y,u,e
b,y,y,a,c,b,k,e,c,k,s,g,e
x,f,w,a,w,n,n,t,b,u,v,d,e
s,f,g,n,c,n,n,e,e,n,v,u,e
x,f,n,n,c,n,k,e,e,n,v,u,e
x,f,w,n,w,b,h,t,e,n,a,g,e
x,y,n,l,c,b,n,e,r,k,y,p,e
b,s,y,a,c,b,k,e,c,k,n,g,e
x,y,w,l,c,b,k,e,c,k,s,g,e
x,y,y,a,c,b,k,e,c,n,n,g,e
x,s,w,l,c,b,w,e,c,k,n,m,e
b,s,w,l,c,b,n,e,c,k,s,g,e
f,y,y,a,c,b,p,e,r,n,y,p,e
x,s,n,p,c,n,n,e,e,n,s,u,p
f,f,g,n,c,n,n,e,e,k,y,u,e
b,s,y,l,c,b,w,e,c,n,s,g,e
f,y,n,a,c,b,w,e,r,n,s,p,e
x,s,y,a,c,b,k,e,c,n,s,m,e
x,f,n,n,c,n,k,e,e,k,y,u,e
f,y,y,a,c,b,w,e,r,n,y,p,e
x,y,n,a,c,b,n,e,r,n,y,p,e
x,s,w,a,c,b,n,e,c,k,s,g,e
x,y,w,p,c,n,n,e,e,k,s,g,p
